Step_ID,Track_ID,Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,uh_max_mean,uh_max_max,uh_max_min,uh_max_std,uh_max_mean_dt,uh_max_max_dt,r10cmx_mean,r10cmx_max,r10cmx_min,r10cmx_std,r10cmx_mean_dt,r10cmx_max_dt,wupmax_mean,wupmax_max,wupmax_min,wupmax_std,wupmax_mean_dt,wupmax_max_dt,cqgmax_mean,cqgmax_max,cqgmax_min,cqgmax_std,cqgmax_mean_dt,cqgmax_max_dt,wdnmax_mean,wdnmax_max,wdnmax_min,wdnmax_std,wdnmax_mean_dt,wdnmax_max_dt,mlcape_mean,mlcape_max,mlcape_min,mlcape_std,mlcape_mean_dt,mlcape_max_dt,mlcins_mean,mlcins_max,mlcins_min,mlcins_std,mlcins_mean_dt,mlcins_max_dt,sblcl_mean,sblcl_max,sblcl_min,sblcl_std,sblcl_mean_dt,sblcl_max_dt,srh03_mean,srh03_max,srh03_min,srh03_std,srh03_mean_dt,srh03_max_dt,shr06_mean,shr06_max,shr06_min,shr06_std,shr06_mean_dt,shr06_max_dt,tmp500_mean,tmp500_max,tmp500_min,tmp500_std,tmp500_mean_dt,tmp500_max_dt,tmp700_mean,tmp700_max,tmp700_min,tmp700_std,tmp700_mean_dt,tmp700_max_dt,dewp2m_mean,dewp2m_max,dewp2m_min,dewp2m_std,dewp2m_mean_dt,dewp2m_max_dt,temp2m_mean,temp2m_max,temp2m_min,temp2m_std,temp2m_mean_dt,temp2m_max_dt,sph850_mean,sph850_max,sph850_min,sph850_std,sph850_mean_dt,sph850_max_dt,sph500_mean,sph500_max,sph500_min,sph500_std,sph500_mean_dt,sph500_max_dt,lllr_mean,lllr_max,lllr_min,lllr_std,lllr_mean_dt,lllr_max_dt,lr75_mean,lr75_max,lr75_min,lr75_std,lr75_mean_dt,lr75_max_dt,Hail_Size
wrf-s3cn_arw_uh_max_20150602-0000_13_15_000_00,wrf-s3cn_arw_uh_max_20150602-0000_13_15_000,2015-06-02 13:00:00,13.00000,13.00000,1.00000,-99.85903,46.48656,32.60665,51.39922,15.22804,8.95649,0.00000,0.00000,48.91421,56.49297,40.01059,4.18927,0.00000,0.00000,13.10312,22.54209,7.32201,3.45362,0.00000,0.00000,6.21767,12.23390,2.90732,2.37850,0.00000,0.00000,-2.81605,-1.27269,-4.26166,0.82650,0.00000,0.00000,6.55842,20.81354,0.00000,7.39062,0.00000,0.00000,-215.31142,-151.28189,-361.94949,55.15902,0.00000,0.00000,719.38318,793.21655,658.62140,27.45370,0.00000,0.00000,142.73871,233.59207,20.85715,55.23338,0.00000,0.00000,0.00286,0.00435,0.00202,0.00056,0.00000,0.00000,-10.78087,-9.69488,-11.20753,0.35757,0.00000,0.00000,6.30945,7.02267,5.20584,0.40172,0.00000,0.00000,58.80288,59.47010,57.79766,0.47990,0.00000,0.00000,60.13920,61.20397,58.41360,0.82362,0.00000,0.00000,10.32543,10.94920,8.54116,0.71012,0.00000,0.00000,2.86274,3.33688,2.61999,0.11270,0.00000,0.00000,-4.46573,-4.07959,-4.84577,0.16942,0.00000,0.00000,-6.40389,-5.80810,-6.79519,0.22731,0.00000,0.00000,29.21484
wrf-s3cn_arw_uh_max_20150602-0000_13_15_000_01,wrf-s3cn_arw_uh_max_20150602-0000_13_15_000,2015-06-02 14:00:00,14.00000,14.00000,2.00000,-99.28773,46.54506,30.31149,61.10649,7.31015,9.34135,-2.29516,9.70727,51.52574,67.52773,27.62345,7.60606,2.61153,11.03475,12.48586,19.29976,6.43907,2.59064,-0.61726,-3.24233,7.47108,30.28778,0.14202,5.22957,1.25341,18.05387,-2.31740,-0.83970,-4.46257,0.69071,0.49864,0.43298,0.83206,12.75733,0.00000,1.72204,-5.72636,-8.05621,-277.49069,-205.96562,-361.43906,34.42963,-62.17928,-54.68373,834.65662,885.01324,736.34540,36.61233,115.27344,91.79669,249.34706,347.38992,185.25058,40.71215,106.60835,113.79785,0.00215,0.00382,0.00142,0.00057,-0.00070,-0.00053,-11.25419,-10.80384,-11.52517,0.17739,-0.47332,-1.10896,6.20230,6.79243,5.55570,0.30103,-0.10715,-0.23024,57.63793,58.32341,56.85607,0.30297,-1.16495,-1.14670,60.41903,61.19941,59.81672,0.33390,0.27983,-0.00456,10.80533,11.26703,9.84165,0.26151,0.47990,0.31783,2.71081,2.90671,2.34722,0.13576,-0.15193,-0.43017,-4.49124,-4.27993,-4.63693,0.08498,-0.02551,-0.20034,-6.54995,-6.27001,-6.82433,0.12860,-0.14606,-0.46191,29.21484
wrf-s3cn_arw_uh_max_20150602-0000_13_15_000_02,wrf-s3cn_arw_uh_max_20150602-0000_13_15_000,2015-06-02 15:00:00,15.00000,15.00000,3.00000,-98.95264,46.69083,39.81368,56.20569,27.27917,7.11726,9.50219,-4.90080,55.67299,68.08071,45.81322,5.65309,4.14724,0.55299,13.32204,19.50899,8.07287,2.95388,0.83618,0.20923,11.61740,34.14266,5.33415,6.59689,4.14633,3.85489,-2.90483,-1.34632,-5.67420,0.80882,-0.58742,-0.50662,0.75844,17.67786,0.00000,2.99621,-0.07362,4.92053,-359.79654,-201.85031,-450.13943,61.83699,-82.30585,4.11531,796.77081,837.54956,726.04388,24.66363,-37.88580,-47.46368,275.18646,342.69904,142.75327,45.45636,25.83940,-4.69089,0.00242,0.00361,0.00148,0.00062,0.00027,-0.00020,-11.05665,-9.92088,-11.89042,0.59752,0.19755,0.88296,6.17990,7.37048,5.33214,0.29972,-0.02240,0.57805,57.19448,57.60913,56.93864,0.14460,-0.44345,-0.71428,60.59286,62.36401,59.60425,0.66436,0.17384,1.16460,10.91528,11.33220,10.14528,0.23530,0.10995,0.06517,2.59542,2.96582,2.18111,0.17476,-0.11539,0.05911,-4.32039,-3.82162,-4.70987,0.14832,0.17085,0.45830,-6.46669,-6.00199,-6.96657,0.20905,0.08326,0.26802,29.21484
wrf-s3cn_arw_uh_max_20150602-0000_18_18_001_00,wrf-s3cn_arw_uh_max_20150602-0000_18_18_001,2015-06-02 18:00:00,18.00000,18.00000,1.00000,-86.05660,24.87582,38.76307,54.66880,20.14421,9.82067,0.00000,0.00000,43.62841,53.78735,34.90234,5.27293,0.00000,0.00000,7.65749,11.52627,3.81851,2.40275,0.00000,0.00000,3.77788,8.19275,1.70791,1.76681,0.00000,0.00000,-2.72475,-1.33979,-4.59483,0.77819,0.00000,0.00000,934.42896,1138.07153,557.32623,113.20982,0.00000,0.00000,-0.93854,0.00000,-2.99447,0.78573,0.00000,0.00000,521.66046,572.53479,372.28723,51.77409,0.00000,0.00000,0.69628,80.70717,-43.04840,34.41374,0.00000,0.00000,0.00254,0.00376,0.00183,0.00044,0.00000,0.00000,-8.62780,-7.49328,-9.54359,0.60837,0.00000,0.00000,6.22180,7.22871,5.29766,0.41468,0.00000,0.00000,75.02586,75.33063,74.74242,0.13401,0.00000,0.00000,79.52246,79.91242,78.66201,0.32898,0.00000,0.00000,11.28152,12.26299,10.72331,0.36896,0.00000,0.00000,3.47831,4.05914,2.50369,0.39390,0.00000,0.00000,-6.47326,-5.91294,-6.77513,0.16275,0.00000,0.00000,-5.52491,-5.01835,-5.97177,0.26479,0.00000,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150602-0000_20_21_002_00,wrf-s3cn_arw_uh_max_20150602-0000_20_21_002,2015-06-02 20:00:00,20.00000,20.00000,1.00000,-99.56709,46.14520,50.66175,114.02502,0.00000,27.42438,0.00000,0.00000,60.36469,69.35076,45.18079,6.58067,0.00000,0.00000,17.12700,27.63294,5.12924,6.02419,0.00000,0.00000,14.86586,35.15041,2.22351,8.52475,0.00000,0.00000,-4.31162,-1.82927,-7.73982,1.78191,0.00000,0.00000,1048.95227,1666.36792,65.17237,422.42386,0.00000,0.00000,-54.69648,-12.97873,-111.46612,28.26140,0.00000,0.00000,1101.01941,1167.89624,955.42822,52.33004,0.00000,0.00000,95.81882,246.73172,2.77467,60.91074,0.00000,0.00000,0.00349,0.00471,0.00230,0.00058,0.00000,0.00000,-11.36273,-7.63696,-12.86858,1.23748,0.00000,0.00000,5.16805,6.27129,4.20000,0.45073,0.00000,0.00000,64.73509,65.77467,64.02180,0.41629,0.00000,0.00000,69.87444,72.54911,67.49963,1.27506,0.00000,0.00000,10.02011,11.73462,7.05248,1.33199,0.00000,0.00000,2.52858,4.00862,1.80659,0.61223,0.00000,0.00000,-6.59344,-5.86193,-6.95379,0.25982,0.00000,0.00000,-6.20889,-4.77287,-7.16751,0.57392,0.00000,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150602-0000_20_21_002_01,wrf-s3cn_arw_uh_max_20150602-0000_20_21_002,2015-06-02 21:00:00,21.00000,21.00000,2.00000,-99.42039,46.09611,46.91869,107.64529,0.41703,29.18830,-3.74306,-6.37973,57.26112,70.55435,25.29422,13.79729,-3.10358,1.20359,15.70935,28.22491,5.67624,6.15777,-1.41765,0.59197,15.68396,40.98484,0.37389,11.54675,0.81810,5.83443,-5.10533,-2.62568,-8.56768,1.59448,-0.79371,-0.79642,1400.28235,1997.67407,0.00000,467.43637,351.33008,331.30615,-25.36652,0.00000,-242.34773,45.87007,29.32996,12.97873,1123.12891,1342.63708,840.99127,123.26315,22.10950,174.74084,157.29208,293.02774,60.79036,67.02300,61.47327,46.29602,0.00429,0.00648,0.00216,0.00103,0.00081,0.00176,-11.41118,-6.31635,-13.66726,1.58621,-0.04844,1.32061,5.88141,8.35415,4.00694,0.91013,0.71336,2.08286,65.90732,67.85311,60.82922,1.49869,1.17223,2.07845,72.49572,78.19773,62.46207,3.93784,2.62128,5.64862,12.50297,13.84463,10.51079,0.99487,2.48286,2.11000,2.17867,4.49483,0.68088,0.98564,-0.34991,0.48621,-6.82914,-4.06731,-7.82544,0.86659,-0.23570,1.79462,-6.49092,-4.89553,-7.28408,0.59506,-0.28202,-0.12266,0.00000
wrf-s3cn_arw_uh_max_20150602-0000_21_21_003_00,wrf-s3cn_arw_uh_max_20150602-0000_21_21_003,2015-06-02 21:00:00,21.00000,21.00000,1.00000,-109.21989,45.52122,40.39882,72.41830,13.21477,15.55420,0.00000,0.00000,46.81900,58.65438,37.58368,4.83905,0.00000,0.00000,10.92165,16.07328,2.63692,3.56402,0.00000,0.00000,4.12746,10.58761,1.05959,2.08125,0.00000,0.00000,-3.47251,-1.75331,-5.16119,0.98004,0.00000,0.00000,369.68021,847.71991,60.75500,236.13991,0.00000,0.00000,-56.87404,0.00000,-150.75792,50.86305,0.00000,0.00000,2697.25073,2829.26001,2553.56616,82.27193,0.00000,0.00000,279.26920,455.28033,172.99535,72.35462,0.00000,0.00000,0.00374,0.00515,0.00201,0.00104,0.00000,0.00000,-14.54943,-13.93176,-15.16074,0.34261,0.00000,0.00000,4.70404,5.59125,3.88239,0.50640,0.00000,0.00000,50.71914,52.24083,48.75602,0.83477,0.00000,0.00000,69.73722,74.23551,63.72143,2.24941,0.00000,0.00000,7.76694,8.39698,7.27050,0.28471,0.00000,0.00000,1.50563,2.28221,0.86144,0.35799,0.00000,0.00000,-8.42496,-7.72172,-9.01499,0.36340,0.00000,0.00000,-7.27663,-6.84560,-7.66281,0.20359,0.00000,0.00000,0.00000
wrf-s3cn_arw_uh_max_20150602-0000_21_22_004_00,wrf-s3cn_arw_uh_max_20150602-0000_21_22_004,2015-06-02 21:00:00,21.00000,21.00000,1.00000,-108.42226,45.77754,47.11074,95.95880,0.53706,22.76203,0.00000,0.00000,45.67084,58.56881,19.39700,8.90398,0.00000,0.00000,11.58951,22.60661,2.04909,4.94969,0.00000,0.00000,4.43470,11.26184,0.39612,2.71589,0.00000,0.00000,-3.72129,-1.00752,-6.88141,1.10159,0.00000,0.00000,844.40900,1406.74561,166.98553,238.64807,0.00000,0.00000,-8.56074,0.00000,-73.13708,11.87544,0.00000,0.00000,2545.67505,2923.48511,2059.65869,169.98438,0.00000,0.00000,64.57431,242.51181,-31.34846,67.03141,0.00000,0.00000,0.00415,0.00509,0.00315,0.00043,0.00000,0.00000,-15.34040,-13.29135,-16.33500,0.70439,0.00000,0.00000,4.34602,5.54893,3.18972,0.48347,0.00000,0.00000,52.53104,57.37117,46.90696,2.18943,0.00000,0.00000,74.95480,77.70647,68.54509,1.69715,0.00000,0.00000,8.55187,10.22969,5.43168,0.81986,0.00000,0.00000,1.60602,2.42212,1.02257,0.34927,0.00000,0.00000,-9.03415,-8.03557,-9.54446,0.28533,0.00000,0.00000,-7.46349,-6.54635,-7.89841,0.29713,0.00000,0.00000,49.98438
wrf-s3cn_arw_uh_max_20150602-0000_21_22_004_01,wrf-s3cn_arw_uh_max_20150602-0000_21_22_004,2015-06-02 22:00:00,22.00000,22.00000,2.00000,-107.87601,45.62573,123.64098,255.89742,21.84683,57.35534,76.53023,159.93861,53.57158,64.99973,37.36904,6.18838,7.90074,6.43091,16.08890,27.33100,3.22634,6.19357,4.49939,4.72439,9.41146,22.81211,2.04604,4.96227,4.97675,11.55027,-4.08873,-1.58739,-8.01310,1.17364,-0.36745,-0.57987,848.51312,1287.52661,336.11606,221.34755,4.10413,-119.21899,-17.40411,0.00000,-64.97214,18.12047,-8.84337,0.00000,2312.03101,2683.48730,1975.22583,205.68068,-233.64404,-239.99780,196.36243,392.13025,105.65140,75.92345,131.78812,149.61844,0.00554,0.00654,0.00392,0.00044,0.00139,0.00145,-13.70302,-12.71690,-15.75140,0.56230,1.63738,0.57444,4.99626,5.93503,3.73423,0.61028,0.65024,0.38609,55.09267,57.42484,51.54473,1.53306,2.56163,0.05367,74.19695,77.72427,65.66331,2.95410,-0.75785,0.01780,9.45079,10.40525,7.89120,0.69279,0.89892,0.17556,1.45819,2.49823,0.70796,0.50494,-0.14783,0.07610,-8.56379,-7.51183,-9.11118,0.41305,0.47036,0.52374,-7.06060,-6.66458,-7.94637,0.25416,0.40290,-0.11823,33.95410
wrf-s3cn_arw_uh_max_20150602-0000_21_21_005_00,wrf-s3cn_arw_uh_max_20150602-0000_21_21_005,2015-06-02 21:00:00,21.00000,21.00000,1.00000,-99.69465,46.68501,36.91063,82.39088,7.51259,17.01411,0.00000,0.00000,59.96227,70.30640,45.82339,5.83852,0.00000,0.00000,14.33969,25.34281,4.93435,5.27366,0.00000,0.00000,14.32620,35.16529,3.04661,6.48254,0.00000,0.00000,-3.29261,-1.58849,-6.78151,1.04220,0.00000,0.00000,1357.09790,1861.59045,133.75940,308.10068,0.00000,0.00000,-9.48431,0.00000,-38.98376,10.72160,0.00000,0.00000,1057.01514,1127.06909,760.07855,77.11751,0.00000,0.00000,151.88959,263.77948,82.48389,39.10979,0.00000,0.00000,0.00345,0.00505,0.00249,0.00055,0.00000,0.00000,-11.07414,-8.41484,-12.62188,0.85760,0.00000,0.00000,4.97767,6.64899,3.97129,0.47158,0.00000,0.00000,65.83163,68.19688,64.84550,0.50047,0.00000,0.00000,71.16672,73.34985,66.16182,1.18676,0.00000,0.00000,12.11003,13.35516,9.75814,0.96442,0.00000,0.00000,2.64528,3.74144,1.77064,0.43252,0.00000,0.00000,-6.61554,-5.12490,-7.13844,0.31660,0.00000,0.00000,-6.02500,-5.07071,-6.57801,0.34318,0.00000,0.00000,58.17676
wrf-s3cn_arw_uh_max_20150602-0000_21_21_006_00,wrf-s3cn_arw_uh_max_20150602-0000_21_21_006,2015-06-02 21:00:00,21.00000,21.00000,1.00000,-109.11422,46.08808,36.15015,73.20659,5.70085,14.07071,0.00000,0.00000,50.23206,58.65238,37.60810,5.11432,0.00000,0.00000,12.29468,21.75369,3.83499,5.02038,0.00000,0.00000,5.92643,11.99534,1.77412,2.74890,0.00000,0.00000,-3.41076,-0.53039,-6.82225,1.53272,0.00000,0.00000,1089.94678,1355.20923,839.79901,129.40250,0.00000,0.00000,-4.59446,0.00000,-16.96305,5.28610,0.00000,0.00000,2338.30469,2566.90259,2059.67114,186.79332,0.00000,0.00000,109.47114,215.26321,-10.41890,65.31487,0.00000,0.00000,0.00477,0.00566,0.00380,0.00056,0.00000,0.00000,-14.22426,-13.34332,-14.85365,0.28808,0.00000,0.00000,3.93259,4.37889,3.46801,0.22510,0.00000,0.00000,54.23458,56.78801,51.83746,1.63292,0.00000,0.00000,70.41457,72.15163,66.59205,1.10724,0.00000,0.00000,9.38103,10.24459,8.54560,0.57415,0.00000,0.00000,1.25215,1.75651,0.80611,0.25391,0.00000,0.00000,-8.84829,-7.90287,-9.22395,0.31799,0.00000,0.00000,-6.88063,-6.65887,-7.29320,0.13953,0.00000,0.00000,0.00000
